PROGRESS 1/57 C0372_COMPLETE3_UNSAT n=3 depth=2 states=7 cache=25
PROGRESS 2/57 MONOTONE_PATH n=3 depth=3 states=14 cache=38
PROGRESS 3/57 ALTERNATING_PATH n=3 depth=3 states=14 cache=38
PROGRESS 4/57 XOR3_CHAIN n=3 depth=3 states=14 cache=56
PROGRESS 5/57 MONOTONE_PATH n=4 depth=3 states=34 cache=122
PROGRESS 6/57 ALTERNATING_PATH n=4 depth=3 states=36 cache=108
PROGRESS 7/57 XOR3_CHAIN n=4 depth=3 states=41 cache=189
PROGRESS 8/57 MONOTONE_PATH n=5 depth=4 states=85 cache=327
PROGRESS 9/57 ALTERNATING_PATH n=5 depth=3 states=95 cache=307
PROGRESS 10/57 XOR3_CHAIN n=5 depth=4 states=117 cache=563
PROGRESS 11/57 MONOTONE_PATH n=6 depth=4 states=201 cache=789
PROGRESS 12/57 ALTERNATING_PATH n=6 depth=4 states=209 cache=665
PROGRESS 13/57 XOR3_CHAIN n=6 depth=4 states=321 cache=1565
PROGRESS 14/57 MONOTONE_PATH n=7 depth=4 states=463 cache=1773
PROGRESS 15/57 ALTERNATING_PATH n=7 depth=4 states=465 cache=1453
PROGRESS 16/57 XOR3_CHAIN n=7 depth=5 states=852 cache=4062
PROGRESS 17/57 MONOTONE_PATH n=8 depth=5 states=1004 cache=3700
PROGRESS 18/57 ALTERNATING_PATH n=8 depth=4 states=929 cache=2817
