PROGRESS 1/57 C0372_COMPLETE3_UNSAT n=3 depth=2 states=7
PROGRESS 2/57 MONOTONE_PATH n=3 depth=3 states=9
PROGRESS 3/57 ALTERNATING_PATH n=3 depth=3 states=9
PROGRESS 4/57 XOR3_CHAIN n=3 depth=3 states=15
PROGRESS 5/57 MONOTONE_PATH n=4 depth=3 states=23
PROGRESS 6/57 ALTERNATING_PATH n=4 depth=3 states=20
PROGRESS 7/57 XOR3_CHAIN n=4 depth=3 states=42
PROGRESS 8/57 MONOTONE_PATH n=5 depth=4 states=52
PROGRESS 9/57 ALTERNATING_PATH n=5 depth=3 states=54
PROGRESS 10/57 XOR3_CHAIN n=5 depth=4 states=118
PROGRESS 11/57 MONOTONE_PATH n=6 depth=4 states=110
PROGRESS 12/57 ALTERNATING_PATH n=6 depth=4 states=124
PROGRESS 13/57 XOR3_CHAIN n=6 depth=4 states=322
PROGRESS 14/57 MONOTONE_PATH n=7 depth=4 states=258
PROGRESS 15/57 ALTERNATING_PATH n=7 depth=4 states=284
PROGRESS 16/57 XOR3_CHAIN n=7 depth=5 states=853
PROGRESS 17/57 MONOTONE_PATH n=8 depth=5 states=589
PROGRESS 18/57 ALTERNATING_PATH n=8 depth=4 states=600
PROGRESS 19/57 XOR3_CHAIN n=8 depth=5 states=2174
PROGRESS 20/57 MONOTONE_PATH n=9 depth=5 states=1308
PROGRESS 21/57 ALTERNATING_PATH n=9 depth=5 states=1252
PROGRESS 22/57 XOR3_CHAIN n=9 depth=5 states=5337
PROGRESS 23/57 DENSE_POSITIVE_TRIPLES n=4 depth=4 states=27
PROGRESS 24/57 DENSE_POSITIVE_TRIPLES n=5 depth=5 states=68
PROGRESS 25/57 DENSE_POSITIVE_TRIPLES n=6 depth=6 states=156
PROGRESS 26/57 DENSE_POSITIVE_TRIPLES n=7 depth=7 states=339
PROGRESS 27/57 DENSE_POSITIVE_TRIPLES n=8 depth=8 states=713
PROGRESS 28/57 RANDOM_CONNECTED_D2_R0 n=4 depth=4 states=45
PROGRESS 29/57 RANDOM_CONNECTED_D2_R1 n=4 depth=4 states=42
PROGRESS 30/57 RANDOM_CONNECTED_D2_R2 n=4 depth=4 states=43
PROGRESS 31/57 RANDOM_CONNECTED_D4_R0 n=4 depth=3 states=37
PROGRESS 32/57 RANDOM_CONNECTED_D4_R1 n=4 depth=4 states=45
PROGRESS 33/57 RANDOM_CONNECTED_D4_R2 n=4 depth=3 states=37
PROGRESS 34/57 RANDOM_CONNECTED_D2_R0 n=5 depth=5 states=120
PROGRESS 35/57 RANDOM_CONNECTED_D2_R1 n=5 depth=4 states=131
PROGRESS 36/57 RANDOM_CONNECTED_D2_R2 n=5 depth=4 states=118
PROGRESS 37/57 RANDOM_CONNECTED_D4_R0 n=5 depth=5 states=122
PROGRESS 38/57 RANDOM_CONNECTED_D4_R1 n=5 depth=4 states=112
PROGRESS 39/57 RANDOM_CONNECTED_D4_R2 n=5 depth=5 states=124
PROGRESS 40/57 RANDOM_CONNECTED_D2_R0 n=6 depth=5 states=339
PROGRESS 41/57 RANDOM_CONNECTED_D2_R1 n=6 depth=5 states=343
PROGRESS 42/57 RANDOM_CONNECTED_D2_R2 n=6 depth=5 states=359
PROGRESS 43/57 RANDOM_CONNECTED_D4_R0 n=6 depth=5 states=324
PROGRESS 44/57 RANDOM_CONNECTED_D4_R1 n=6 depth=4 states=309
PROGRESS 45/57 RANDOM_CONNECTED_D4_R2 n=6 depth=5 states=320
PROGRESS 46/57 RANDOM_CONNECTED_D2_R0 n=7 depth=6 states=816
PROGRESS 47/57 RANDOM_CONNECTED_D2_R1 n=7 depth=6 states=955
PROGRESS 48/57 RANDOM_CONNECTED_D2_R2 n=7 depth=6 states=958
PROGRESS 49/57 RANDOM_CONNECTED_D4_R0 n=7 depth=6 states=891
PROGRESS 50/57 RANDOM_CONNECTED_D4_R1 n=7 depth=7 states=909
PROGRESS 51/57 RANDOM_CONNECTED_D4_R2 n=7 depth=6 states=889
PROGRESS 52/57 RANDOM_CONNECTED_D2_R0 n=8 depth=6 states=2500
PROGRESS 53/57 RANDOM_CONNECTED_D2_R1 n=8 depth=6 states=2554
PROGRESS 54/57 RANDOM_CONNECTED_D2_R2 n=8 depth=6 states=2640
PROGRESS 55/57 RANDOM_CONNECTED_D4_R0 n=8 depth=7 states=2475
PROGRESS 56/57 RANDOM_CONNECTED_D4_R1 n=8 depth=6 states=2139
PROGRESS 57/57 RANDOM_CONNECTED_D4_R2 n=8 depth=7 states=2363
